id,gap_exp,gap_gdbt,label
1391,2.157,2.128203094,Train
2131,2.19,2.055920049,Train
1104,2.75,2.76915681,Train
325,2.528,2.545392416,Train
345,2.351,2.415291133,Train
4134,2.207,2.238577021,Train
1784,2.32,2.240261509,Train
23,1.658,1.720009366,Train
1,1.731,1.781949878,Train
2907,2.651,2.590993626,Train
3133,2.593,2.641401685,Train
708,2.457,2.467589179,Train
1804,1.943,1.897524848,Train
3506,1.972,1.946613849,Train
3020,2.561,2.574506614,Train
555,1.985,1.997556108,Train
3507,2.59,2.47825363,Train
3179,2.216,2.109444759,Train
2397,2.165,2.244283235,Train
4220,2.829,2.79761419,Train
2412,2.285,2.211938997,Train
4135,2.143,1.975494708,Train
3580,2.258,2.26481111,Train
4141,1.901,1.925973125,Train
2731,2.758,2.533268362,Train
2760,2.862,2.732364431,Train
4785,2.695,2.622003808,Train
1270,1.87,1.828987596,Train
982,2.897,2.874731276,Train
3753,2.313,2.250323862,Train
1892,2.598,2.686625588,Train
1563,2.943,3.067627718,Train
3774,2.686,2.585836005,Train
4236,2.553,2.695494128,Train
4422,1.929,1.980816304,Train
927,2.895,2.840148315,Train
3373,3.193,3.108094821,Train
4269,2.725,2.728358507,Train
480,2.386,2.332796168,Train
2472,2.162,2.119538783,Train
3794,2.52,2.564562972,Train
803,1.861,2.030401345,Train
2758,2.766,2.735753385,Train
536,2.706,2.718340291,Train
2247,3.137,3.130576145,Train
3427,2.853,2.74704366,Train
2230,2.289,2.193805714,Train
4418,2.134,2.275001136,Train
2962,3.139,3.063425322,Train
3512,1.814,1.842267616,Train
3689,2.017,2.005509305,Train
2477,2.202,2.079349616,Train
2301,2.077,2.075051396,Train
1662,2.184,2.199858465,Train
3530,2.999,2.81567642,Train
390,2.564,2.649024323,Train
4050,2.458,2.453547797,Train
4371,1.921,2.020509603,Train
4441,2.107,2.122789032,Train
1996,2.035,2.093531317,Train
2501,2.326,2.230571078,Train
4434,1.815,1.892966618,Train
638,2.329,2.509989836,Train
185,2.682,2.606149771,Train
4494,1.781,1.762265226,Train
3634,2.375,2.260652747,Train
680,2.709,2.779886111,Train
1529,2.943,2.929269548,Train
3502,1.769,1.838332802,Train
1736,2.252,2.337874586,Train
485,1.811,1.891597931,Train
3913,2.871,2.838098357,Train
1497,2.444,2.532070695,Train
2175,2.199,2.188338957,Train
4485,2.444,2.381813554,Train
4281,2.803,2.876066467,Train
1220,1.967,1.954791047,Train
3983,3.023,2.919441205,Train
1495,1.923,1.897309646,Train
462,2.583,2.668724133,Train
3263,2.93,2.910785939,Train
3589,2.372,2.737257796,Train
1961,1.959,1.958868053,Train
2165,2.035,2.103990401,Train
4872,2.051,2.034448496,Train
1338,2.709,2.658570776,Train
2475,2.935,2.966241523,Train
4811,2.764,2.70231034,Train
553,2.432,2.36013273,Train
3719,3.125,3.069419489,Train
4202,2.383,2.325373806,Train
3459,2.201,2.179984927,Train
3156,2.432,2.48965857,Train
1750,2.717,2.715043438,Train
2518,2.252,2.076275469,Train
1419,2.102,1.994219784,Train
286,3.087,2.869810509,Train
465,2.309,2.354919903,Train
3553,2.491,2.45449287,Train
37,2.461,2.345863979,Train
3118,2.252,2.089938402,Train
2537,2.666,2.585094739,Train
3438,1.946,1.971892917,Train
4844,2.55,2.588290518,Train
1202,2.33,2.432765868,Train
3798,3.139,3.138225147,Train
622,2.711,2.641266384,Train
4860,2.403,2.558194169,Train
1487,2.817,2.690716621,Train
1615,3.12,3.022156758,Train
2102,1.777,1.83296149,Train
1567,1.862,1.931914138,Train
1675,2.865,2.814487549,Train
2240,2.162,2.312599151,Train
4224,2.803,2.840419227,Train
4036,2.982,2.901732325,Train
2772,2.144,2.216045548,Train
4713,2.661,2.688749379,Train
3325,2.806,2.745828555,Train
2949,2.416,2.052209635,Train
408,2.576,2.558251552,Train
4777,2.934,2.765864399,Train
4114,2.113,2.153752496,Train
1077,2.77,2.729199163,Train
1545,2.101,2.117302639,Train
3659,1.772,1.793674843,Train
2708,2.601,2.668670985,Train
2460,2.977,2.886854511,Train
1881,2.841,2.814299897,Train
1256,2.827,2.653890333,Train
429,3.13,2.981136303,Train
4918,2.846,2.764789886,Train
3606,2.433,2.549318317,Train
1803,3.066,2.907417006,Train
1855,2.941,2.840071988,Train
2364,2.023,2.089733837,Train
4252,2.69,2.533157864,Train
1127,3.318,3.042633421,Train
3349,2.652,2.529014662,Train
3709,2.244,2.300600222,Train
2318,2.291,2.300431134,Train
2815,2.134,2.256403682,Train
917,2.18,2.275915127,Train
2294,1.952,1.948076177,Train
3043,1.717,1.776519685,Train
3126,3.241,3.114111126,Train
1163,2.322,2.336750434,Train
4643,2.641,2.755216491,Train
2566,2.17,2.098812631,Train
3288,2.867,2.687030695,Train
2826,2.958,2.866647915,Train
85,3.12,3.078407903,Train
2154,2.03,2.020821871,Train
248,1.924,1.976820529,Train
519,2.256,2.362327784,Train
2777,1.473,1.610549005,Train
4104,2.621,2.576883661,Train
712,1.822,1.835467195,Train
1277,2.308,2.235329277,Train
2810,2.607,2.580006226,Train
1696,2.753,2.73226446,Train
3654,2.532,2.444870167,Train
3643,2.002,2.007063702,Train
809,2.79,2.68934908,Train
2407,2.127,2.061011691,Train
3558,2.773,2.914609519,Train
501,2.401,2.399706892,Train
3267,2.327,2.295970793,Train
227,2.412,2.483455684,Train
2150,2.307,2.381316297,Train
3371,1.944,2.083154321,Train
3217,2,1.803317892,Train
1068,1.952,2.025478461,Train
3132,2.518,2.612090785,Train
3334,2.594,2.686308306,Train
2265,2.5,2.447065971,Train
620,2.742,2.680842867,Train
621,2.844,3.00178866,Train
2300,2.125,2.126716098,Train
2052,2.335,2.288586169,Train
3324,2.748,2.752076745,Train
4117,2.621,2.822540093,Train
1358,1.643,1.736380338,Train
3357,2.532,2.669756982,Train
4969,2.007,1.924637605,Train
748,2.715,2.729358251,Train
2232,2.928,2.809433383,Train
2072,2.692,2.745007012,Train
4229,2.122,2.163152459,Train
685,2.436,2.5305099,Train
190,1.949,1.923896219,Train
747,1.862,1.783025722,Train
221,1.763,1.886455617,Train
2809,2.157,2.092671545,Train
203,1.966,1.997429857,Train
1009,1.962,1.995590411,Train
36,2.265,2.28957367,Train
1879,2.291,2.267450046,Train
4894,1.85,1.875208037,Train
4334,1.945,1.976491776,Train
3608,2.739,2.698290623,Train
4382,2.597,2.538461589,Train
2036,3.013,2.927251611,Train
1271,2.119,2.012342913,Train
1021,2.448,2.520097582,Train
1680,2.855,2.934728049,Train
4165,2.206,2.192211365,Train
1760,2.347,2.478418213,Train
1232,2.706,2.639277689,Train
1593,2.451,2.524800923,Train
4831,2.114,2.172917833,Train
3152,2.847,2.828084505,Train
576,2.554,2.54393934,Train
836,2.892,2.825973392,Train
4405,2.277,2.293415694,Train
1708,2.138,2.227681046,Train
4560,2.751,2.710931887,Train
569,2.678,2.682050615,Train
4637,1.929,1.915785314,Train
4900,2.193,2.316765856,Train
1654,1.846,1.897214597,Train
182,2.149,2.324583718,Train
382,2.214,2.207126858,Train
2125,2.654,2.642718506,Train
4391,2.617,2.651549156,Train
2171,2.576,2.597364411,Train
3416,1.936,2.097974249,Train
1922,2.852,2.855473122,Train
706,2.143,2.104142437,Train
2345,2.408,2.437188788,Train
2379,2.724,2.804185743,Train
2088,1.927,1.893866103,Train
206,2.252,2.379032898,Train
4583,2.553,2.496826234,Train
384,2.177,2.148829799,Train
1580,2.872,2.794584025,Train
4879,2.273,2.276650431,Train
3637,2.494,2.602951365,Train
4145,2.5,2.483123476,Train
2948,2.61,2.645303208,Train
457,2.646,2.600711248,Train
4077,2.297,2.138018659,Train
3196,2.449,2.468612642,Train
3001,2.702,2.648656082,Train
2332,2.531,2.565871046,Train
4614,1.948,1.957392817,Train
4270,2.578,2.509839896,Train
929,2.161,2.117068988,Train
4001,2.794,2.8386688,Train
663,2.274,2.269647142,Train
4028,3,3.049883532,Train
4826,2.24,2.083237446,Train
2382,2.365,2.342708745,Train
3592,2.413,2.352211838,Train
2231,1.965,2.108814781,Train
3660,2.386,2.366326942,Train
3521,2.119,1.942034993,Train
768,2.344,2.329945463,Train
4658,2.81,2.858595055,Train
2814,2.153,1.976321372,Train
4230,2.67,2.675549288,Train
2100,2.732,2.611595775,Train
1411,2.231,2.103694172,Train
3410,2.547,2.469348854,Train
1632,2.748,2.744559343,Train
3566,2.588,2.499244236,Train
1850,3.263,3.123423429,Train
2899,2.04,2.084851296,Train
4761,2.047,2.094846504,Train
2565,3.092,3.06732424,Train
3303,2.541,2.617424037,Train
3145,1.776,1.913242821,Train
4519,2.129,2.105705323,Train
841,2.628,2.830311617,Train
2089,2.755,2.543533285,Train
1852,2.124,2.068679923,Train
3635,1.967,2.03696729,Train
4123,2.34,2.460197421,Train
3869,3.137,3.064713795,Train
4315,2.22,2.165245321,Train
3822,2.399,2.337157101,Train
3428,2.259,2.277326486,Train
4355,2.093,2.170238121,Train
857,2.73,2.715380031,Train
4183,2.41,2.394239575,Train
2447,3.158,3.126354246,Train
1303,2.702,2.614067717,Train
925,2.799,2.786780459,Train
4245,2.741,2.751091317,Train
4041,2.406,2.479825236,Train
2060,2.714,2.778466252,Train
1515,2.759,2.906773846,Train
2200,2.258,2.371728434,Train
1422,2.228,2.328285832,Train
3244,2.344,2.340449049,Train
2619,2.42,2.191100089,Train
2709,2.176,2.082762975,Train
2601,3.076,3.006335271,Train
2770,2.907,2.965273353,Train
1997,2.072,1.953343919,Train
3309,2.543,2.353699946,Train
3910,3.364,3.14005882,Train
3707,2.522,2.545188146,Train
1273,2.186,2.059242259,Train
1288,2.92,2.957635052,Train
3845,1.811,1.749371181,Train
5003,1.921,1.903481813,Train
3671,1.956,1.953271409,Train
3972,2.666,2.69149606,Train
3597,2.382,2.327218409,Train
3034,2.257,2.159956902,Train
3253,2.397,2.410050562,Train
4540,1.79,1.756461425,Train
687,2.349,2.252209112,Train
2726,2.793,2.709062064,Train
5020,2.816,2.820270323,Train
3157,2.707,2.725138765,Train
4463,2.478,2.214957789,Train
2717,2.362,2.4341691,Train
2608,2.322,2.324745827,Train
1533,2.099,2.080151894,Train
527,2.111,2.053888468,Train
3320,1.986,1.997417826,Train
1230,2.641,2.670931578,Train
3006,2.044,2.192970879,Train
4789,2.517,2.510420278,Train
3731,1.75,1.831626508,Train
2782,2.392,2.40986333,Train
794,2.429,2.324485629,Train
3460,1.856,1.988888277,Train
2776,1.982,2.068212409,Train
1939,2.611,2.519400764,Train
3935,2.439,2.46148379,Train
2720,2.181,2.125590393,Train
3008,3.11,3.029011506,Train
2278,2.514,2.514263118,Train
3210,2.373,2.352576898,Train
3274,2.343,2.206180099,Train
2794,2.825,2.772557183,Train
853,2.011,2.213763376,Train
787,2.184,2.2837745,Train
4003,2.486,2.729960012,Train
4408,2.426,2.373499758,Train
3183,2.465,2.379034692,Train
2618,2.082,2.072275221,Train
1752,2.446,2.558466034,Train
2350,2.455,2.417657097,Train
1324,2.325,2.33066384,Train
546,3.014,2.980111367,Train
615,2.73,2.891509903,Train
369,2.232,2.206504693,Train
4578,2.343,2.347353074,Train
4843,1.666,1.789512891,Train
1073,2.878,2.862586317,Train
1658,1.865,1.921745001,Train
1357,2.791,2.870558803,Train
1960,2.36,2.331222537,Train
3921,2.458,2.300458672,Train
1441,2.242,2.163412108,Train
2204,2.298,2.122845303,Train
1390,2.104,2.140984283,Train
4225,1.905,2.121705514,Train
467,2.379,2.28171988,Train
4471,2.753,2.828274343,Train
276,2.06,2.080364547,Train
1046,3.127,3.062369261,Train
4559,1.999,1.913484578,Train
4661,2.388,2.29542509,Train
2866,1.908,1.887869572,Train
3227,3.097,3.097753526,Train
1900,2.271,2.249742229,Train
1514,2.776,2.705448229,Train
1170,3.024,2.899553423,Train
4304,2.715,2.813998824,Train
1359,2.538,2.591460205,Train
4908,2.4,2.445103501,Train
1620,2.432,2.539946848,Train
3343,1.848,1.850681986,Train
1669,2.029,2.065331537,Train
1280,2.419,2.416818553,Train
4428,3.246,3.204637321,Train
4584,2.519,2.416479933,Train
1839,2.73,2.650747236,Train
1047,2.075,2.029309857,Train
1787,2.949,2.893270944,Train
4303,1.953,1.905606442,Train
3809,2.815,2.869743162,Train
3691,2.025,2.085266324,Train
2539,2.796,2.871588345,Train
3823,1.922,1.872230308,Train
3668,2.24,2.363054928,Train
2290,2.833,2.784310479,Train
2585,2.241,2.366598443,Train
53,2.394,2.506843047,Train
516,1.838,1.85871261,Train
2693,2.328,2.349101555,Train
1791,2.087,2.015239479,Train
3286,2.601,2.654227942,Train
985,2.257,2.349682063,Train
3464,3.28,3.194492922,Train
3131,2.36,2.352412604,Train
1370,2.899,2.843189986,Train
2939,2.971,2.899696962,Train
482,2.759,2.732059845,Train
4897,2.607,2.426033261,Train
3603,2.689,2.629351985,Train
4164,2.175,2.224024389,Train
1625,1.899,1.838755893,Train
4619,3.031,3.012726117,Train
3628,1.87,1.89628115,Train
4409,2.974,3.012218725,Train
1697,1.819,1.80696511,Train
1698,2.557,2.481348281,Train
692,2.476,2.606161492,Train
2600,2.065,2.081687955,Train
289,2.261,2.355335438,Train
2579,2.491,2.558735798,Train
1763,2.206,2.257610181,Train
2347,2.003,1.965481079,Train
2505,2.885,2.71474298,Train
3065,2.403,2.406547379,Train
2854,2.518,2.376618866,Train
3554,2.958,2.841703568,Train
4024,2.471,2.303124435,Train
295,2.756,2.665530099,Train
61,2.077,2.170901622,Train
3705,2.574,2.43460576,Train
3987,2.618,2.613773117,Train
3764,2.609,2.494777167,Train
4965,1.829,1.804954089,Train
3614,2.423,2.397194291,Train
2196,2.839,2.782706468,Train
4037,2.634,2.635350965,Train
2743,2.5,2.552556384,Train
1643,1.986,2.025723592,Train
4649,1.873,1.907946716,Train
3522,2.47,2.62084604,Train
2682,2.724,2.890666838,Train
3342,2.694,2.698013812,Train
3682,2.738,2.742959644,Train
2830,1.866,2.013869574,Train
2926,1.883,1.912010744,Train
589,2.683,2.690520643,Train
3759,1.922,2.08382185,Train
1464,2.524,2.648904846,Train
590,2.947,2.868522546,Train
4633,3.124,3.02158796,Train
1144,3.086,2.862724897,Train
3304,1.28,2.024186407,Train
2604,2.122,2.34535127,Train
4857,2.617,2.664682501,Train
2666,2.338,2.253878665,Train
3675,2.1,2.021828469,Train
2066,2.171,2.299231716,Train
4033,2.808,2.838329873,Train
3881,2.238,2.13898653,Train
2436,2.011,2.026353828,Train
2915,0.976,1.758238699,Train
607,3.198,3.017281587,Train
296,1.935,1.96316549,Train
587,2.779,2.775188757,Train
3433,2.329,2.142588688,Train
566,2.515,2.474433257,Train
1721,2.756,2.799287081,Train
2339,2.248,2.231860345,Train
2602,1.811,1.882864678,Train
2835,2.75,2.744968651,Train
3915,2.751,2.658107532,Train
934,2.17,2.234151432,Train
2966,1.919,1.946057391,Train
4978,1.809,1.910145606,Train
4546,1.948,2.070724082,Train
3556,2.644,2.591003914,Train
196,1.959,1.984693939,Train
2406,2.858,2.832084902,Train
133,3.246,2.925823322,Train
4082,2.354,2.342454522,Train
3150,2.367,2.260900228,Train
321,2.838,2.832985311,Train
118,2.811,2.821618937,Train
261,2.028,2.064199959,Train
598,2.792,2.810379606,Train
3693,2.052,2.086055957,Train
905,2.567,2.608345951,Train
4275,2.262,2.124055596,Train
3484,1.815,2.015019424,Train
2369,2.724,2.697913446,Train
3439,2.007,2.057889116,Train
1705,1.933,1.962638474,Train
1056,2.993,2.981994707,Train
2961,2.457,2.505635687,Train
322,1.956,2.076916604,Train
1870,2.044,2.099201971,Train
4539,2.376,2.415041166,Train
149,1.763,1.85526927,Train
4551,1.893,2.050318246,Train
3887,2.825,2.786621705,Train
579,2.414,2.372462306,Train
421,2.921,2.745457312,Train
2788,2.077,2.083008405,Train
4042,2.066,2.138724175,Train
4240,2.094,2.035765059,Train
4138,2.71,2.882676322,Train
3982,2.437,2.488501489,Train
2076,2.799,2.789593436,Train
1190,2.551,2.578229436,Train
1266,2.415,2.423265772,Train
3350,2.998,2.962272805,Train
3899,2.075,2.197006123,Train
3500,2.386,2.394232686,Train
4895,2.693,2.705417246,Train
226,2.356,2.370626596,Train
1755,1.613,1.864303968,Train
17,1.994,1.930897116,Train
2740,2.613,2.605586917,Train
1916,1.873,1.977870384,Train
1946,2.79,2.993783517,Train
3351,2.331,2.362223593,Train
2234,2.492,2.380669747,Train
2762,2.961,3.028603848,Train
1206,2.674,2.609564991,Train
4045,2.727,2.744711638,Train
418,2.47,2.396388693,Train
3197,2.419,2.450086554,Train
988,3.014,2.914089491,Train
1062,1.92,1.895466711,Train
3314,2.319,2.39984488,Train
3925,2.219,2.42776617,Train
4618,2.792,2.755790867,Train
572,2.595,2.668963142,Train
229,2.447,2.41997314,Train
4004,2.935,2.794061013,Train
86,2.067,1.995539916,Train
2647,2.571,2.611778015,Train
440,2.528,2.716723964,Train
2969,2.153,2.080776037,Train
1427,2.674,2.680632056,Train
4480,2.576,2.532048667,Train
288,2.384,2.424259833,Train
2905,2.051,2.075215417,Train
2372,2.945,2.800496144,Train
1300,2.648,2.503868474,Train
2617,2.145,2.118101459,Train
242,2.237,2.170720555,Train
3970,2.073,2.01989206,Train
3052,2.85,2.770415129,Train
1382,2.058,2.021004145,Train
422,2.245,2.25005067,Train
4875,2.079,2.007489046,Train
3169,2.157,2.235903902,Train
2140,2.753,2.564410458,Train
4478,2.334,2.429780016,Train
4046,3.073,2.698934076,Train
3220,2.891,2.940436745,Train
1182,2.142,2.103661272,Train
998,2.228,2.229780146,Train
2152,2.106,2.095148779,Train
832,1.812,1.982789862,Train
3177,2.623,2.597574413,Train
944,2.499,2.473683833,Train
935,2.687,2.693478383,Train
2625,2.007,1.982258138,Train
3237,2.061,2.027524136,Train
2663,2.821,2.832416068,Train
1292,2.376,2.310209215,Train
880,2.134,2.127425902,Train
2425,1.962,1.965059513,Train
996,1.81,1.808262955,Train
4203,2.819,2.734937996,Train
346,1.85,1.903865996,Train
558,2.352,2.463049545,Train
3180,2.673,2.728128407,Train
4855,2.7,2.814462815,Train
3641,3.199,3.060270161,Train
695,2.111,2.068017507,Train
3565,2.635,2.658182594,Train
1504,2.979,2.988287334,Train
257,2.331,2.431992174,Train
2203,1.703,1.805750844,Train
2790,2.686,2.603150256,Train
3475,2.235,2.158451196,Train
1148,2.799,2.758569239,Train
1907,1.773,1.761804589,Train
4896,2.29,2.171739713,Train
4210,2.382,2.334474106,Train
4335,2.732,2.832781163,Train
3571,2.784,2.828580631,Train
1928,2.98,3.033661344,Train
2011,2.572,2.521391722,Train
953,2.453,2.583902226,Train
471,2.641,2.599316302,Train
5006,3.1,3.002110652,Train
2034,1.965,1.984809265,Train
4109,2.845,2.95992283,Train
2983,2.498,2.507631869,Train
3529,2.971,2.828231464,Train
3161,2.237,2.308281257,Train
2590,1.892,1.98242763,Train
4389,2.981,3.020993576,Train
840,3.075,3.022152619,Train
1833,1.917,2.013853709,Train
1150,2.866,2.892914315,Train
3354,2.435,2.412462543,Train
1513,1.832,1.828114711,Train
1458,2.688,2.736606327,Train
2728,1.868,1.855990864,Train
4920,2.015,1.994633188,Train
3124,2.755,2.749061623,Train
1445,2.46,2.395996056,Train
2715,2.383,2.419090841,Train
1621,2.562,2.547338193,Train
1649,2.53,2.59086894,Train
92,2.188,1.843644471,Train
4386,1.974,1.932658858,Train
1700,1.985,1.910113908,Train
1865,2.794,2.720408274,Train
3317,2.811,2.838685162,Train
2931,2.59,2.702986935,Train
1566,2.271,2.441636125,Train
234,2.589,2.513303724,Train
4755,2.739,2.756054445,Train
2929,1.878,2.021523961,Train
4492,2.903,2.944667994,Train
897,2.948,3.052731716,Train
3200,2.256,2.102331559,Train
2795,2.428,2.377887668,Train
961,2.674,2.762470194,Train
1285,3.021,3.160651129,Train
3901,2.858,2.846732857,Train
983,2.631,2.405776613,Train
1336,1.904,1.976899811,Train
3917,1.108,1.916515125,Train
3340,2.661,2.517927717,Train
3775,1.908,1.913430986,Train
1269,3.071,3.087487978,Train
4997,2.688,2.670344387,Train
4899,2.043,2.038206572,Train
5008,2.369,2.368089238,Train
2805,2.421,2.510434091,Train
2616,1.953,1.991683258,Train
2478,2.039,2.137827895,Train
1120,2.134,2.116179315,Train
3184,3.059,2.945140417,Train
2394,2.866,2.875727176,Train
450,2.518,2.489373166,Train
635,2.775,2.658602268,Train
1977,2.957,2.873675641,Train
444,2.305,2.244355833,Train
2177,2.003,2.079385384,Train
338,2.408,2.291555423,Train
868,2.043,2.058430196,Train
4062,2.818,2.818277163,Train
1867,2.769,2.873990386,Train
4100,1.849,1.870123922,Train
2630,2.703,2.755834287,Train
389,2.942,2.943239697,Train
3517,1.891,2.06500292,Train
2016,1.897,1.951836231,Train
1473,1.759,1.780270807,Train
436,2.498,2.382091936,Train
4683,2.896,2.836412686,Train
3289,2.404,2.363832644,Train
5,2.761,2.567902757,Train
3170,1.797,1.790940372,Train
3870,2.017,1.998561822,Train
3225,2.164,2.090260633,Train
2702,2.722,2.778171566,Train
109,2.071,2.073980047,Train
1034,2.892,2.777089085,Train
3535,2.741,2.728012555,Train
368,2.134,2.144559744,Train
4132,2.371,2.282658868,Train
834,2.106,2.040209267,Train
2605,2.641,2.790942186,Train
1607,2.762,2.755471758,Train
1283,1.851,1.818389453,Train
4959,2.078,2.140269331,Train
443,2.324,2.415333627,Train
2148,2.006,2.003406213,Train
3375,1.888,1.814642322,Train
3400,2.811,2.771371806,Train
4580,2.569,2.625995496,Train
2459,1.858,1.89513332,Train
643,2.25,2.458956084,Train
570,2.831,2.846303045,Train
451,1.95,2.006359587,Train
1197,2.29,2.262508803,Train
1070,3.117,3.051971398,Train
4907,2.42,2.282686935,Train
2992,1.889,1.87314254,Train
2063,2.397,2.32932598,Train
4392,3.105,3.038727834,Train
4759,2.832,2.853170309,Train
4621,0.782,1.536714462,Train
3646,3.234,3.139658668,Train
3411,1.752,1.781527836,Train
2727,1.862,1.897109358,Train
3,1.971,1.968688638,Train
2383,3.232,3.063315483,Train
4313,2.483,2.491923454,Train
989,2.395,2.455347512,Train
306,2.548,2.807128047,Train
10,2.815,2.739159209,Train
14,2.232,2.145641613,Train
3037,2.476,2.450663939,Train
2734,2.203,2.228982875,Train
2087,2.15,2.263454454,Train
4,2.092,1.982888487,Train
682,2.054,2.014371415,Train
2481,2.366,2.315181714,Train
1979,2.028,2.068747124,Train
4868,2.693,2.718881616,Train
3568,2.473,2.724744684,Train
